Request ID,Server ID,Load Score,Avg Neighbor Load,Forwarded,Selected Neighbor,Queue Size,CPU Usage,Memory Usage
Request-0,localhost:50053,73.0,72.9,False,N/A,0,0.0,73.1
Request-1,localhost:50053,71.83,71.82,False,N/A,1,0.0,73.0
Request-2,localhost:50053,63.34,63.6,False,N/A,2,10.9,73.1
Request-3,localhost:50053,61.04,60.56,False,N/A,3,14.5,73.0
Request-4,localhost:50053,60.93,60.63,False,N/A,4,13.0,73.0
Request-5,localhost:50053,60.63,60.48,False,N/A,5,11.9,72.9
Request-6,localhost:50053,59.45,58.7,False,N/A,6,14.0,73.1
Request-7,localhost:50053,58.17,56.83,False,N/A,7,16.5,73.1
Request-8,localhost:50053,57.98,56.72,False,N/A,8,16.0,73.3
Request-9,localhost:50053,58.37,57.38,False,N/A,9,13.1,73.3
Request-10,localhost:50053,57.05,55.7,False,N/A,10,15.4,73.1
Request-11,localhost:50053,55.82,53.53,False,N/A,11,19.3,73.1
Request-12,localhost:50053,55.82,53.74,False,N/A,12,17.3,73.1
Request-13,localhost:50053,55.73,53.94,False,N/A,13,16.1,73.1
Request-14,localhost:50053,54.43,50.78,False,N/A,14,23.8,73.2
Request-15,localhost:50053,53.99,51.11,False,N/A,15,20.9,72.7
Request-16,localhost:50053,54.88,52.8,False,N/A,16,14.4,72.7
Request-17,localhost:50053,53.26,50.16,False,N/A,17,22.9,72.6
Request-18,localhost:50053,60.89,57.05,False,N/A,18,0.0,73.0
Request-19,localhost:50053,53.4,50.07,False,N/A,19,19.8,72.9
Request-20,localhost:50053,54.17,51.03,False,N/A,20,14.6,72.9
Request-21,localhost:50053,53.72,50.13,False,N/A,21,16.2,72.9
Request-22,localhost:50053,53.47,49.29,False,N/A,22,16.6,72.8
Request-23,localhost:50053,53.53,48.96,False,N/A,23,16.3,72.9
Request-24,localhost:50053,53.41,48.63,False,N/A,24,15.8,72.7
Request-25,localhost:50053,53.84,48.14,False,N/A,25,16.7,73.5
Request-26,localhost:50053,53.67,47.5,False,N/A,26,17.6,73.5
Request-27,localhost:50053,53.66,43.8,False,N/A,27,35.5,73.6
Request-28,localhost:50053,53.38,43.68,False,N/A,28,34.2,73.4
Request-29,localhost:50053,53.08,43.11,False,N/A,29,34.9,72.8
Request-30,localhost:50053,53.38,46.19,False,N/A,30,18.6,73.2
Request-31,localhost:50053,53.21,45.38,False,N/A,31,20.6,73.2
Request-32,localhost:50053,53.44,46.86,False,N/A,32,18.6,73.1
Request-33,localhost:50053,53.25,46.28,False,N/A,33,19.8,72.9
Request-34,localhost:50053,53.57,46.16,False,N/A,34,18.0,72.9
Request-35,localhost:50053,53.01,45.23,False,N/A,35,21.8,72.5
Request-36,localhost:50053,53.52,43.34,False,N/A,36,19.3,72.7
Request-37,localhost:50053,53.69,43.04,False,N/A,37,19.1,72.7
Request-38,localhost:50053,54.44,43.53,False,N/A,38,14.5,72.5
Request-39,localhost:50053,54.68,43.25,False,N/A,39,14.2,72.5
Request-40,localhost:50053,54.88,42.97,False,N/A,40,13.8,72.4
Request-41,localhost:50053,54.84,41.98,False,N/A,41,15.0,72.4
Request-42,localhost:50053,55.13,41.68,False,N/A,42,15.0,72.5
Request-43,localhost:50053,55.1,41.15,False,N/A,43,16.0,72.4
Request-44,localhost:50053,55.04,40.49,False,N/A,44,17.9,72.4
Request-45,localhost:50053,55.08,39.91,False,N/A,45,19.5,72.4
Request-46,localhost:50053,54.95,38.58,False,N/A,46,28.3,72.5
Request-47,localhost:50053,55.28,38.22,False,N/A,47,29.2,72.6
Request-48,localhost:50053,55.53,38.1,False,N/A,48,28.3,72.6
Request-49,localhost:50053,56.16,38.99,False,N/A,49,20.1,72.5
Request-50,localhost:50053,56.9,39.2,False,N/A,50,16.9,72.5
Request-51,localhost:50053,56.79,39.49,False,N/A,51,19.9,72.5
Request-52,localhost:50053,56.8,38.92,False,N/A,52,23.1,72.5
Request-53,localhost:50053,57.1,38.67,False,N/A,53,22.7,72.4
Request-54,localhost:50053,57.78,38.74,False,N/A,54,18.9,72.3
Request-55,localhost:50053,59.39,39.13,True,localhost:50051,55,12.0,72.2
Request-56,localhost:50053,59.07,38.23,True,localhost:50051,55,13.6,72.3
Request-57,localhost:50053,58.82,38.08,True,localhost:50051,55,14.5,72.2
Request-58,localhost:50053,58.38,37.76,True,localhost:50051,55,16.8,72.2
Request-59,localhost:50053,58.89,38.14,True,localhost:50051,55,13.9,72.1
Request-60,localhost:50053,58.99,38.87,True,localhost:50052,55,13.7,72.2
Request-61,localhost:50053,59.3,39.12,True,localhost:50052,55,12.1,72.1
Request-62,localhost:50053,59.08,38.97,True,localhost:50052,55,12.8,72.0
Request-63,localhost:50053,59.22,39.08,True,localhost:50052,55,12.2,72.0
Request-64,localhost:50053,58.7,38.64,True,localhost:50052,55,15.1,72.2
Request-65,localhost:50053,58.27,39.22,False,N/A,55,17.5,72.2
