Request ID,Server ID,Load Score,Avg Neighbor Load,Forwarded,Selected Neighbor,Queue Size,CPU Usage,Memory Usage
Request-66,localhost:50053,58.12,38.31,True,localhost:50051,56,22.0,72.3
Request-67,localhost:50053,58.46,38.77,True,localhost:50051,56,19.0,72.3
Request-68,localhost:50053,58.73,39.09,True,localhost:50051,56,16.9,72.2
Request-69,localhost:50053,59.29,39.6,False,N/A,56,13.7,72.1
Request-70,localhost:50053,59.7,40.03,False,N/A,57,13.8,72.2
Request-71,localhost:50053,59.32,39.11,True,localhost:50052,58,18.5,72.4
Request-72,localhost:50053,59.2,39.02,True,localhost:50052,58,19.0,72.3
Request-73,localhost:50053,59.36,39.18,True,localhost:50052,58,17.9,72.3
Request-74,localhost:50053,59.76,39.56,True,localhost:50052,58,15.3,72.2
Request-75,localhost:50053,59.42,39.94,False,N/A,58,17.2,72.2
Request-76,localhost:50053,59.39,39.32,True,localhost:50051,59,20.0,72.2
Request-77,localhost:50053,59.36,39.33,True,localhost:50051,59,19.8,72.1
Request-78,localhost:50053,59.66,39.63,True,localhost:50051,59,17.7,72.1
Request-79,localhost:50053,59.46,40.65,False,N/A,59,19.0,72.1
Request-80,localhost:50053,59.98,40.47,False,N/A,60,19.3,72.4
Request-81,localhost:50053,60.32,40.25,False,N/A,61,19.3,72.3
Request-82,localhost:50053,60.83,40.18,True,localhost:50052,62,18.2,72.2
Request-83,localhost:50053,60.77,40.13,True,localhost:50052,62,18.6,72.2
Request-84,localhost:50053,61.12,40.42,True,localhost:50052,62,17.1,72.4
Request-85,localhost:50053,61.46,40.69,True,localhost:50052,62,15.3,72.4
Request-86,localhost:50053,61.17,40.49,True,localhost:50052,62,16.5,72.3
Request-87,localhost:50053,60.66,40.05,True,localhost:50052,62,19.3,72.2
Request-88,localhost:50053,60.75,40.14,True,localhost:50052,62,18.7,72.2
Request-89,localhost:50053,60.86,41.21,False,N/A,62,18.0,72.2
Request-90,localhost:50053,61.59,41.29,False,N/A,63,16.5,72.3
Request-91,localhost:50053,61.81,40.97,True,localhost:50051,64,17.3,72.2
Request-92,localhost:50053,61.78,40.93,True,localhost:50051,64,17.5,72.2
Request-93,localhost:50053,61.94,41.07,True,localhost:50051,64,16.6,72.2
Request-94,localhost:50053,62.12,41.58,False,N/A,64,16.5,72.5
Request-95,localhost:50053,62.3,41.19,True,localhost:50051,65,17.9,72.5
Request-96,localhost:50053,62.33,41.22,True,localhost:50051,65,17.7,72.5
Request-97,localhost:50053,61.51,40.44,True,localhost:50051,65,22.6,72.2
Request-98,localhost:50053,61.85,42.06,False,N/A,65,20.2,72.3
Request-99,localhost:50053,62.3,41.92,False,N/A,66,20.0,72.3
Request-100,localhost:50053,62.76,41.66,True,localhost:50052,67,21.4,72.7
Request-101,localhost:50053,62.42,41.22,True,localhost:50052,67,24.8,72.7
Request-102,localhost:50053,62.56,41.5,True,localhost:50052,67,22.3,72.5
Request-103,localhost:50053,62.92,42.74,False,N/A,67,19.8,72.6
Request-104,localhost:50053,63.49,42.69,False,N/A,68,19.0,72.6
Request-105,localhost:50053,63.4,42.05,True,localhost:50051,69,22.7,72.5
Request-106,localhost:50053,63.46,42.13,True,localhost:50051,69,22.1,72.5
Request-107,localhost:50053,63.02,41.45,True,localhost:50051,69,27.7,72.5
Request-108,localhost:50053,63.23,42.62,False,N/A,69,24.4,72.5
Request-109,localhost:50053,63.86,42.71,False,N/A,70,22.2,72.4
Request-110,localhost:50053,64.94,43.06,True,localhost:50052,71,17.7,72.3
Request-111,localhost:50053,64.96,43.07,True,localhost:50052,71,17.6,72.3
Request-112,localhost:50053,64.29,42.57,True,localhost:50052,71,22.0,72.3
Request-113,localhost:50053,63.97,41.62,True,localhost:50051,71,25.8,72.4
Request-114,localhost:50053,63.77,40.56,True,localhost:50051,71,33.5,72.4
Request-115,localhost:50053,63.77,40.6,True,localhost:50051,71,33.2,72.4
Request-116,localhost:50053,63.83,41.47,True,localhost:50051,71,26.6,72.2
Request-117,localhost:50053,64.37,44.79,False,N/A,71,21.0,72.2
Request-118,localhost:50053,65.5,45.03,False,N/A,72,17.8,72.5
Request-119,localhost:50053,65.61,44.68,False,N/A,73,20.0,72.5
Request-120,localhost:50053,66.22,44.63,False,N/A,74,19.2,72.5
Request-121,localhost:50053,67.0,44.65,True,localhost:50052,75,17.6,72.5
Request-122,localhost:50053,67.01,44.0,True,localhost:50052,75,17.3,72.4
Request-123,localhost:50053,67.05,44.03,True,localhost:50052,75,17.1,72.4
Request-124,localhost:50053,67.63,44.45,True,localhost:50052,75,14.2,72.3
Request-125,localhost:50053,67.66,44.48,True,localhost:50052,75,13.9,72.2
Request-126,localhost:50053,68.67,45.07,True,localhost:50052,75,10.2,72.2
Request-127,localhost:50053,68.81,45.8,True,localhost:50051,75,9.9,72.3
Request-128,localhost:50053,69.36,46.16,True,localhost:50051,75,8.2,72.3
Request-129,localhost:50053,67.63,44.92,True,localhost:50051,75,14.2,72.3
Request-130,localhost:50053,67.24,44.61,True,localhost:50051,75,15.7,72.2
Request-131,localhost:50053,67.04,44.39,True,localhost:50051,75,16.9,72.3
Request-132,localhost:50053,68.04,46.36,False,N/A,75,12.4,72.2
Request-133,localhost:50053,68.51,46.23,False,N/A,76,12.4,72.1
Request-134,localhost:50053,69.08,46.16,False,N/A,77,12.2,72.1
Request-135,localhost:50053,69.08,45.68,True,localhost:50051,78,14.0,72.0
Request-136,localhost:50053,69.55,46.34,True,localhost:50052,78,12.4,72.1
Request-137,localhost:50053,69.38,46.19,True,localhost:50052,78,13.2,72.2
Request-138,localhost:50053,69.76,46.48,True,localhost:50052,78,11.8,72.2
Request-139,localhost:50053,69.49,46.3,True,localhost:50052,78,12.6,72.1
Request-140,localhost:50053,70.27,46.85,False,N/A,78,9.9,72.1
Request-141,localhost:50053,69.58,46.63,False,N/A,79,14.3,72.1
Request-142,localhost:50053,70.49,46.83,True,localhost:50051,80,13.0,72.2
Request-143,localhost:50053,69.61,46.08,True,localhost:50051,80,16.5,72.1
Request-144,localhost:50053,71.29,47.44,True,localhost:50051,80,10.2,72.2
Request-145,localhost:50053,68.42,44.62,True,localhost:50051,80,24.0,72.2
Request-146,localhost:50053,68.49,47.01,False,N/A,80,23.8,72.3
Request-147,localhost:50053,68.58,46.29,False,N/A,81,28.5,72.3
Request-148,localhost:50053,70.7,47.9,False,N/A,82,16.6,72.2
Request-149,localhost:50053,71.65,48.1,False,N/A,83,14.5,72.0
Request-150,localhost:50053,72.51,48.18,True,localhost:50052,84,13.6,72.2
Request-151,localhost:50053,72.47,47.6,True,localhost:50052,84,13.6,72.1
Request-152,localhost:50053,72.28,47.45,True,localhost:50052,84,14.5,72.2
Request-153,localhost:50053,71.13,46.4,True,localhost:50052,84,20.4,72.4
Request-154,localhost:50053,70.39,45.36,True,localhost:50052,84,26.7,72.6
Request-155,localhost:50053,70.11,47.4,False,N/A,84,38.2,72.7
Request-156,localhost:50053,70.57,47.67,False,N/A,85,34.9,72.7
Request-157,localhost:50053,71.48,48.5,False,N/A,86,26.1,72.5
Request-158,localhost:50053,72.83,49.08,False,N/A,87,20.3,72.5
Request-159,localhost:50053,74.3,49.52,True,localhost:50051,88,15.8,72.4
Request-160,localhost:50053,74.86,49.21,True,localhost:50051,88,13.9,72.6
Request-161,localhost:50053,74.62,49.05,True,localhost:50051,88,14.8,72.6
Request-162,localhost:50053,74.12,48.7,True,localhost:50051,88,16.9,72.6
Request-163,localhost:50053,74.43,48.94,True,localhost:50051,88,15.4,72.5
Request-164,localhost:50053,74.74,49.15,True,localhost:50051,88,14.2,72.5
Request-165,localhost:50053,74.78,50.15,False,N/A,88,14.2,72.6
Request-166,localhost:50053,74.64,49.52,True,localhost:50052,89,17.1,72.6
Request-167,localhost:50053,74.34,49.26,True,localhost:50052,89,18.5,72.6
Request-168,localhost:50053,74.74,49.63,True,localhost:50052,89,16.5,72.5
Request-169,localhost:50053,75.03,49.86,True,localhost:50052,89,15.3,72.5
Request-170,localhost:50053,74.36,50.15,False,N/A,89,18.4,72.6
Request-171,localhost:50053,73.64,48.64,True,localhost:50051,90,26.7,72.6
Request-172,localhost:50053,73.49,48.32,True,localhost:50051,90,28.7,72.7
Request-173,localhost:50053,73.83,48.87,True,localhost:50051,90,25.4,72.7
Request-174,localhost:50053,75.01,52.06,False,N/A,90,18.4,72.8
Request-175,localhost:50053,76.88,52.8,False,N/A,91,13.0,72.7
Request-176,localhost:50053,77.06,52.49,False,N/A,92,14.8,72.9
Request-177,localhost:50053,77.11,52.13,False,N/A,93,16.8,72.8
Request-178,localhost:50053,77.21,51.75,False,N/A,94,19.2,72.9
Request-179,localhost:50053,78.04,51.16,True,localhost:50052,95,18.1,72.9
Request-180,localhost:50053,78.89,51.77,True,localhost:50052,95,14.9,73.1
Request-181,localhost:50053,78.54,51.53,True,localhost:50052,95,16.1,73.0
Request-182,localhost:50053,78.99,51.85,True,localhost:50052,95,14.4,73.0
Request-183,localhost:50053,78.8,51.72,True,localhost:50052,95,15.1,73.0
Request-184,localhost:50053,79.44,53.23,False,N/A,95,12.8,73.0
Request-185,localhost:50053,79.78,53.0,True,localhost:50051,96,13.6,72.9
Request-186,localhost:50053,79.87,53.07,True,localhost:50051,96,13.3,72.9
Request-187,localhost:50053,80.48,53.49,True,localhost:50051,96,11.4,73.0
Request-188,localhost:50053,79.67,52.91,True,localhost:50051,96,14.1,73.0
Request-189,localhost:50053,79.79,53.67,False,N/A,96,13.7,73.0
Request-190,localhost:50053,79.75,53.1,True,localhost:50051,97,16.1,73.0
Request-191,localhost:50053,80.72,53.87,False,N/A,97,12.6,73.0
Request-192,localhost:50053,81.22,53.74,True,localhost:50051,98,13.0,73.0
Request-193,localhost:50053,81.3,54.71,False,N/A,98,12.7,73.0
Request-194,localhost:50053,81.63,54.46,False,N/A,99,13.7,73.0
Request-195,localhost:50053,81.8,54.08,True,localhost:50052,100,15.3,73.0
Request-196,localhost:50053,81.99,54.23,True,localhost:50052,100,14.6,73.0
Request-197,localhost:50053,82.54,54.66,True,localhost:50052,100,12.5,72.8
Request-198,localhost:50053,82.92,55.6,False,N/A,100,11.4,72.9
Request-199,localhost:50053,84.02,55.88,True,localhost:50051,101,10.0,72.9
