Request ID,Server ID,Load Score,Avg Neighbor Load,Forwarded,Selected Neighbor,Queue Size,CPU Usage,Memory Usage
Request-55,localhost:50051,72.1,72.1,False,N/A,0,0.0,72.2
Request-56,localhost:50051,71.13,71.4,False,N/A,1,0.0,72.3
Request-57,localhost:50051,59.61,59.89,False,N/A,2,19.2,72.2
Request-58,localhost:50051,60.02,61.27,False,N/A,3,15.3,72.2
Request-59,localhost:50051,59.72,61.44,False,N/A,4,14.0,72.1
Request-66,localhost:50051,58.53,59.55,False,N/A,5,16.5,72.3
Request-67,localhost:50051,66.63,68.36,False,N/A,6,0.0,72.3
Request-68,localhost:50051,57.71,59.4,False,N/A,7,15.2,72.2
Request-76,localhost:50051,56.81,58.79,False,N/A,8,17.2,72.2
Request-77,localhost:50051,56.17,58.23,False,N/A,9,17.9,72.1
Request-78,localhost:50051,56.01,58.38,False,N/A,10,16.9,72.1
Request-91,localhost:50051,55.73,58.61,False,N/A,11,17.8,72.2
Request-92,localhost:50051,55.34,58.33,False,N/A,12,17.9,72.2
Request-93,localhost:50051,55.03,58.33,False,N/A,13,17.7,72.2
Request-95,localhost:50051,54.93,58.06,False,N/A,14,17.9,72.5
Request-96,localhost:50051,54.53,57.55,False,N/A,15,18.8,72.5
Request-97,localhost:50051,53.81,56.65,False,N/A,16,20.7,72.2
Request-105,localhost:50051,53.87,58.03,False,N/A,17,20.7,72.5
Request-106,localhost:50051,53.56,57.55,False,N/A,18,21.6,72.5
Request-107,localhost:50051,53.21,55.62,False,N/A,19,29.1,72.5
Request-113,localhost:50051,53.24,56.77,False,N/A,20,21.8,72.4
Request-114,localhost:50051,52.92,55.56,False,N/A,21,25.0,72.4
Request-115,localhost:50051,52.89,55.94,False,N/A,22,23.6,72.4
Request-116,localhost:50051,52.61,54.91,False,N/A,23,26.5,72.2
Request-127,localhost:50051,53.97,59.48,False,N/A,24,14.8,72.3
Request-128,localhost:50051,53.87,59.36,False,N/A,25,14.8,72.3
Request-129,localhost:50051,53.53,58.67,False,N/A,26,16.2,72.3
Request-130,localhost:50051,53.47,58.7,False,N/A,27,15.8,72.2
Request-131,localhost:50051,53.33,58.45,False,N/A,28,16.9,72.3
Request-135,localhost:50051,53.96,59.89,False,N/A,29,13.2,72.0
Request-142,localhost:50051,54.38,60.8,False,N/A,30,12.3,72.2
Request-143,localhost:50051,54.24,60.57,False,N/A,31,12.6,72.1
Request-144,localhost:50051,54.39,60.57,False,N/A,32,12.4,72.2
Request-145,localhost:50051,52.83,56.06,False,N/A,33,24.0,72.2
Request-159,localhost:50051,53.34,61.34,False,N/A,34,22.7,72.4
Request-160,localhost:50051,53.76,60.88,False,N/A,35,20.3,72.6
Request-161,localhost:50051,53.81,60.72,False,N/A,36,20.7,72.6
Request-162,localhost:50051,54.45,62.0,False,N/A,37,16.9,72.6
Request-163,localhost:50051,54.78,62.48,False,N/A,38,15.5,72.5
Request-164,localhost:50051,55.22,62.93,False,N/A,39,14.2,72.5
Request-171,localhost:50051,54.42,60.9,False,N/A,40,21.3,72.6
Request-172,localhost:50051,54.82,61.45,False,N/A,41,19.6,72.7
Request-173,localhost:50051,54.93,61.26,False,N/A,42,20.1,72.7
Request-185,localhost:50051,56.23,65.09,False,N/A,43,15.2,72.9
Request-186,localhost:50051,56.46,65.16,False,N/A,44,15.0,72.9
Request-187,localhost:50051,56.71,65.12,False,N/A,45,15.1,73.0
Request-188,localhost:50051,57.13,65.52,False,N/A,46,14.1,73.0
Request-190,localhost:50051,57.38,65.55,False,N/A,47,14.0,73.0
Request-192,localhost:50051,57.61,65.49,False,N/A,48,14.4,73.0
Request-199,localhost:50051,58.27,67.52,False,N/A,49,12.5,72.9
